name,tags,rating
"Root was Built by Love, Broken by Destiny","['combinatorics', 'dfs and similar', 'graphs', 'trees']",1800.0
Trip Shopping,"['games', 'greedy', 'sortings']",1400.0
"Hamiiid, Haaamid... Hamid?","['games', 'greedy']",1300.0
Mix Mex Max,"['constructive algorithms', 'greedy', 'math']",800.0
Big Wins!  (hard version),"['binary search', 'data structures', 'divide and conquer', 'dsu', 'trees', 'two pointers']",2400.0
Big Wins! (easy version),"['binary search', 'data structures', 'dp', 'dsu', 'two pointers']",2200.0
"1-1-1, Free Tree!","['brute force', 'data structures', 'dfs and similar', 'graphs', 'implementation', 'trees']",2000.0
"G-C-D, Unlucky!","['math', 'number theory']",1400.0
This Is the Last Time,"['data structures', 'greedy', 'sortings']",1200.0
I Will Definitely Make It,"['greedy', 'sortings']",1100.0
No Casino in the Mountains,"['dp', 'greedy']",800.0
Only One Digit,"['brute force', 'implementation', 'math']",800.0
Timofey and Docker,"['binary search', 'divide and conquer', 'dp']",3000.0
Sets of Complementary Sums,"['brute force', 'combinatorics', 'dp', 'math', 'two pointers']",2500.0
Segments Covering,"['dp', 'math', 'probabilities']",1600.0
Count Good Numbers,"['bitmasks', 'combinatorics', 'math', 'number theory']",1100.0
Left and Down,"['math', 'number theory']",900.0
Difficult Contest,"['constructive algorithms', 'implementation', 'sortings', 'strings']",800.0
Lexicographic Partition,"['constructive algorithms', 'math', 'trees']",3500.0
Longest Good Subsequence,"['dp', 'math', 'trees']",3400.0
Maximise Sum,"['binary search', 'data structures']",3200.0
Appending Permutations (Hard Version),"['combinatorics', 'dp']",2800.0
Appending Permutations (Easy Version),"['combinatorics', 'dp']",2300.0
Make it Zero,"['constructive algorithms', 'greedy', 'math']",2100.0
Make a Palindrome,"['greedy', 'sortings', 'two pointers']",1700.0
Subset Multiplication,"['constructive algorithms', 'greedy', 'math', 'number theory']",1300.0
Minimise Sum,['greedy'],1000.0
Deranged Deletions,"['greedy', 'sortings']",800.0
Modular Sorting,"['brute force', 'data structures', 'greedy', 'math', 'number theory', 'sortings']",2100.0
Minimize Fixed Points,"['constructive algorithms', 'number theory']",1700.0
MEX Count,"['binary search', 'data structures', 'greedy', 'sortings', 'two pointers']",1400.0
Binary String Battle,"['constructive algorithms', 'games', 'greedy']",1200.0
Prefix Min and Suffix Max,"['brute force', 'data structures']",1000.0
Tournament,['greedy'],800.0
Blackboard Game,['math'],800.0
Tree Parking,"['combinatorics', 'fft', 'math', 'trees']",3300.0
Colorful Polygon,"['constructive algorithms', 'divide and conquer', 'geometry']",3400.0
Greedy Grid Counting,"['combinatorics', 'dp', 'greedy', 'math']",2600.0
Traffic Lights,"['brute force', 'data structures', 'divide and conquer', 'dp', 'graphs', 'greedy', 'shortest paths']",2400.0
Manhattan Pairs,"['constructive algorithms', 'geometry', 'greedy', 'math', 'sortings']",1700.0
Pile Shuffling,"['greedy', 'math']",1100.0
Greedy Grid,"['constructive algorithms', 'greedy']",800.0
Ice Baby,"['binary search', 'brute force', 'data structures', 'dp', 'implementation', 'sortings']",2300.0
Gangsta,"['data structures', 'divide and conquer', 'math', 'sortings']",1900.0
Yamakasi,"['binary search', 'brute force', 'data structures', 'greedy', 'two pointers']",1800.0
Sponsor of Your Problems,"['dp', 'greedy', 'implementation', 'strings']",1500.0
1709,"['implementation', 'sortings']",1300.0
Those Who Are With Us,"['greedy', 'greedy', 'implementation']",1200.0
Above the Clouds,"['constructive algorithms', 'greedy', 'strings']",800.0
Letter Home,"['brute force', 'math']",800.0
Eulerian Line Graph,"['graphs', 'greedy', 'math']",3000.0
Superb Graphs,"['2-sat', 'graphs']",2600.0
Lanes of Cars,"['binary search', 'dp', 'ternary search']",2300.0
Matrix game,"['combinatorics', 'math']",1800.0
Divine Tree,"['constructive algorithms', 'greedy', 'math', 'sortings', 'trees']",1400.0
Square Pool,['geometry'],1000.0
Square of Rectangles,"['geometry', 'math']",800.0
Volcanic Eruptions,"['dfs and similar', 'dp', 'greedy', 'shortest paths', 'trees']",3300.0
And Constraint,"['bitmasks', 'dp', 'greedy']",2600.0
Token Removing,"['combinatorics', 'dp', 'math']",2100.0
A Good Problem,"['bitmasks', 'constructive algorithms', 'math']",1300.0
Line Segments,"['geometry', 'greedy', 'math']",1200.0
Add or XOR,"['bitmasks', 'greedy', 'math']",800.0
Shifts and Swaps,"['data structures', 'graphs', 'hashing', 'trees']",3100.0
Grid Coloring,"['constructive algorithms', 'geometry', 'greedy', 'math']",2400.0
"Red Light, Green Light (Hard version)","['binary search', 'brute force', 'data structures', 'dfs and similar', 'dp', 'graphs', 'implementation', 'math', 'number theory']",2200.0
"Red Light, Green Light (Easy version)","['brute force', 'dfs and similar', 'dp', 'graphs', 'implementation', 'number theory']",1700.0
Make It Beautiful,"['bitmasks', 'data structures', 'greedy', 'math']",1300.0
Make It Permutation,['constructive algorithms'],1200.0
Equal Subsequences,"['constructive algorithms', 'greedy']",800.0
Incessant Rain,"['data structures', 'divide and conquer', 'sortings']",2500.0
Omg Graph,"['brute force', 'dsu', 'graphs', 'greedy', 'shortest paths', 'sortings']",1900.0
Wildflower,"['combinatorics', 'dfs and similar', 'trees']",1800.0
Lost Soul,"['brute force', 'greedy']",1600.0
Retaliation,"['binary search', 'math', 'number theory']",1200.0
Cool Partition,"['data structures', 'greedy']",1200.0
Shrink,['constructive algorithms'],800.0
False Alarm,"['greedy', 'implementation']",800.0
